sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,Phone_Number,Street,City,State,Zip_Code,total_enroll,Grades,SSAS,Grade,SingleScore,pct_asian,pct_native,pct_black,pct_hispanic,pct_multi,pct_white,pct_ed,pct_swd,pct_lep,Content_MasteryE,ProgressE,Closing_GapE,ReadinessE,CCRPIScoreE,Third_Grade_Reading,Fifth_Grade_Reading,Content_MasteryM,ProgressM,Closing_GapM,ReadinessM,CCRPIScoreM,Eighth_Grade_Reading,Content_MasteryH,ProgressH,Closing_GapH,ReadinessH,Graduation_RateH,CCRPIScoreH,English_BegH,English_DevH,English_ProfH,English_DistH,Math_BegH,Math_DevH,Math_ProfH,Math_DistH,Science_BegH,Science_DevH,Science_ProfH,Science_DistH,Soc_BegH,Soc_DevH,Soc_ProfH,Soc_DistH,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,English_BegE,English_DevE,English_ProfE,English_DistE,Math_BegE,Math_DevE,Math_ProfE,Math_DistE,Science_BegE,Science_DevE,Science_ProfE,Science_DistE,Soc_BegE,Soc_DevE,Soc_ProfE,Soc_DistE,English_BegM,English_DevM,English_ProfM,English_DistM,Math_BegM,Math_DevM,Math_ProfM,Math_DistM,Science_BegM,Science_DevM,Science_ProfM,Science_DistM,Soc_BegM,Soc_DevM,Soc_ProfM,Soc_DistM,CollegeEnrollment,FinancialEfficiency,SchoolClimate,Mobility,PPE
603102,603,Bacon County,Bacon County Primary School,102,E,(912)632-4765,251 Cumberland Rd,Alma,GA,31510,468,K-2,,B,86.2,0,0,22,15,6,57,51.900002,14,8,79.8,100.0,100,81.6,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,19.7,11157.26
603202,603,Bacon County,Bacon County Middle School,202,M,(912)632-4662,1188 US Hwy 1 South ,Alma,GA,31510,494,6-8,,B,85,0,0,21,15,4,59,44.099998,18,9,,,,,,,,67.0,96.4,100,80.7,85,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,38.1,31.7,4.100000000000001,16,40,32.2,11.7,31.3,26.9,31.9,10,25.6,41.90000000000001,23.1,9.4,,3,4,13.8,9518.450000000001
603302,603,Bacon County,Bacon County High School,302,H,(912)632-4414,1190 US Highway 1 S,Alma,GA,31510,591,9-12,,B,81.40000000000001,1,0,17,12,3,67,31.1,11,2,,,,,,,,,,,,,,66.1,91.2,89.09999999999999,74.1,94.6,81.40000000000001,17.4,39.6,38.90000000000001,4.2,25.6,48.1,22.4,3.8,28.2,26.7,38.90000000000001,6.100000000000001,33.1,35.2,26.8,4.9,73.90000000000001,53.6,94.10000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,9.700000000000001,9198.25
6033050,603,Bacon County,Bacon County Elementary School,3050,E,912-632-4133 ,523 East 16th St Alma,Alma,GA,31510,495,3-5,,B,80,0,0,22,15,5,57,46.900002,16,11,68.8,93.4,68.3,82.1,80,53.6,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,35.5,35.1,6.7,6.5,34.6,44.40000000000001,14.5,32.8,35,27.3,4.9,27.3,57.40000000000001,13.1,2.2,,,,,,,,,,,,,,,,,,3,5,16.2,9786.210000000001
604105,604,Baker County,Baker County K12 School,105,EMH,(229)734-5274,260 GA-37 SW,Newton,GA,39870,271,K-12,,D,60.40000000000001,0,0,60,12,6,23,68.300003,19,0,39.1,63.5,75,75.9,60.4,33.3,36.8,33.1,83.7,0,70.6,53.3,50,41.6,73.4,100,62.5,85.8,66.7,,,,,40,45,10,5,47.6,33.3,19,0,,,,,80,22.8,87,41.90000000000001,37.1,21,0,40.3,46.8,12.9,0,47.40000000000001,52.6,0,0,26.3,73.7,0,0,52.40000000000001,41.3,6.300000000000001,0,47.6,38.1,11.1,3.2,45.5,45.5,9.1,0,45.5,50,4.5,0,,1,5,21.8,17098.6
605100,605,Baldwin County,Oak Hill Middle School,100,M,(478)457-3370,365 Blandy Rd NW,Milledgeville,GA,31061,1162,6-8,,D,64.60000000000001,1,0,72,3,3,21,58.700001,12,1,,,,,,,,42.4,80.4,63.5,71.3,64.59999999999999,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.90000000000001,35.8,19.6,3.7,42.2,46.6,9.600000000000001,1.6,62.2,27.4,10,.4,39.90000000000001,39.6,14.8,5.7,,3.5,4,10.2,8640.35
605189,605,Baldwin County,Baldwin High School,189,H,(478)453-6429,155 Ga Highway 49 W,Milledgeville,GA,31061,1204,9-12,,B,81.7,1,0,72,2,3,22,40.400002,11,0,,,,,,,,,,,,,,58.0,99.9,100,70.7,91.5,81.7,24.5,44.6,29.9,1,32.4,48.3,17.9,1.4,32.1,32.1,31.3,4.5,28.3,45.6,23,3.1,49.2,78.80000000000001,90.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,12.1,9831.790000000001
605300,605,Baldwin County,Lakeview Academy,300,E,(478)457-2967,220 N ABC St ,Milledgeville,GA,31061,680,3-5,,C,71.60000000000001,3,0,64,4,3,26,53.200001,15,4,50.8,81.6,82.09999999999999,77.4,71.59999999999999,34.4,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,36.4,21.8,5.800000000000001,24.5,45.40000000000001,23,7.100000000000001,50.6,29.2,16.5,3.7,38.3,49.8,8.6,3.3,,,,,,,,,,,,,,,,,,3.5,4,14.9,8905.09
605301,605,Baldwin County,Midway Hills Primary School,301,E,(478)457-2495,375 Blandy Rd,Milledgeville,GA,31061,558,K-2,,D,60.5,1,0,62,1,5,31,68.099998,12,0,43.5,TFS,80,71.4,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13.8,10109.63
605302,605,Baldwin County,Lakeview Primary School,302,E,(478)-457-3301,"372 Blandy Rd, ",Milledgeville,GA,31061,687,K-2,,C,70.7,3,0,57,4,5,30,56,14,3,56.6,TFS,95,73.5,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12.4,9649.56
605303,605,Baldwin County,Midway Hills Academy,303,E,(478)457-2240,101 Carl Vinson Rd SE,Milledgeville,GA,31061,564,3-5,,F,56.5,1,0,67,1,5,27,64.900002,12,0,36.2,70.0,47.7,69.8,56.5,28,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.90000000000001,38.5,13.9,3.7,40.5,40.3,16.5,2.6,64.40000000000001,20,13.3,2.2,51.7,43.3,4.4,.6000000000000001,,,,,,,,,,,,,,,,,,2.5,3,13.7,10024.83
606105,606,Banks County,Banks County Middle School,105,M,(706)677-2277,712 Thompson St,Homer,GA,30547,695,6-8,,C,75.2,1,0,1,10,3,86,25.9,15,5,,,,,,,,71.4,74.5,75,82.2,75.2,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,31.8,37.2,8.800000000000001,17.2,39.3,32.9,10.5,20.3,21.2,37.4,21.2,18.9,41.40000000000001,23.4,16.2,,3.5,5,14,8778.050000000001
606107,606,Banks County,Banks County Elementary School,107,E,(706)677-2308,180 Highway 51 S,Homer,GA,30547,606,3-5,,C,75.8,1,0,2,10,5,82,30.9,19,8,71.4,81.5,63.5,81.4,75.8,53.40000000000001,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,30.8,34.3,11.8,14.1,33.7,42,10.3,20.7,24.9,40.40000000000001,14.1,22.6,50,15.1,12.3,,,,,,,,,,,,,,,,,,3,5,9.800000000000001,10385.01
606199,606,Banks County,Banks County High School,199,H,(706)677-2221,1486 Historic Homer Hwy,Homer,GA,30547,843,9-12,,C,73.10000000000001,1,0,2,9,2,87,20.9,14,2,,,,,,,,,,,,,,68.7,71.5,72.5,70.3,88.0,73.09999999999999,23.4,37.2,32.4,6.9,33.9,47.1,17.8,1.1,25.4,24.6,39.2,10.8,13.7,24.7,42.6,18.9,61.6,59.3,85.30000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,13.5,9783.77
606205,606,Banks County,Banks County Primary School,205,E,(706)677-2355,266 Highway 51 S,Homer,GA,30547,594,K-2,,C,74.3,0,0,2,7,3,88,33,12,4,73.8,TFS,68.8,79.3,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16.2,10699.46
607101,607,Barrow County,Apalachee High School,101,H,(770)586-5111,940 Haymon-Morris Rd,Winder,GA,30680,1887,9-12,,C,77,4,0,15,21,5,56,17.200001,13,6,,,,,,,,,,,,,,64.6,88.9,58.3,76.7,90.9,77,18.3,35.6,38.7,7.5,29.9,42.40000000000001,26.1,1.6,30.9,27,34.4,7.800000000000001,12,22,50,16,66.90000000000001,79.2,90.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,11.3,8242.67
607105,607,Barrow County,County Line Elementary School,105,E,(770)867-2902,334 Rockwell Church Rd ,Winder,GA,30680,521,K-5,,B,81.7,7,0,7,19,6,61,29.9,16,19,74.5,91.8,72.90000000000001,81.4,81.7,40.8,63.90000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,32.8,35.5,12.1,15.6,32,39.5,12.9,25.8,25.8,33,15.5,16.5,37.1,24.7,21.6,,,,,,,,,,,,,,,,,,3.5,4,15.2,10750.74
6071050,607,Barrow County,Auburn Elementary School,1050,E,770-963-7887,1334 Sixth Ave,Auburn,GA,30011,630,K-5,,B,80.90000000000001,7,0,6,19,8,60,30.6,16,17,59.7,92.7,100,77.7,80.90000000000001,35.7,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,36.8,30.7,6.4,17.3,44.40000000000001,31.3,7,35.1,29.7,29.7,5.4,27.9,48.6,20.7,2.7,,,,,,,,,,,,,,,,,,3,4,18.4,10437.92
607106,607,Barrow County,Haymon-Morris Middle School,106,M,(678)963-0602,1008 Haymon Morris Rd,Winder,GA,30680,851,6-8,,C,71.5,4,0,12,21,5,57,17.9,14,15,,,,,,,,65.0,75.2,59.4,83.7,71.5,66.40000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,34.1,34.4,9.700000000000001,15.8,41.6,34.5,8.1,36.2,38,22.3,3.5,25.2,45.7,25.2,4,,3.5,5,11.2,8456.700000000001
607114,607,Barrow County,Bear Creek Middle School,114,M,(770) 725-5575,228 Jefferson St,Statham,GA,30666,751,6-8,,C,74.90000000000001,4,0,14,20,4,59,23.6,16,14,,,,,,,,74.6,76.9,59.4,83.3,74.90000000000001,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,35.7,39.5,7.5,9,48,35.5,7.4,21.9,33.1,38.8,6.2,8.5,37.2,34.5,19.7,,4,5,12.8,9204.210000000001
607189,607,Barrow County,Kennedy Elementary School,189,E,(770)867-3182,200 Matthews School Rd,Winder,GA,30680,840,K-5,,D,69.90000000000001,4,0,19,23,7,46,28.799999,18,19,69.7,82.6,26.7,80.6,69.90000000000001,47.3,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,38.2,30.6,11.3,11.3,34.6,42.2,12,24.4,35.4,30.7,9.4,13.4,54.3,19.7,12.6,,,,,,,,,,,,,,,,,,3,3,12.2,9350.190000000001
607193,607,Barrow County,Bramlett Elementary School,193,E,(770)307-1627,622 Freeman Brock Rd,Auburn,GA,30011,662,K-5,,A,91.90000000000001,8,0,6,15,5,67,17.5,13,17,85.8,97.3,100,85.4,91.90000000000001,55.8,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,35.2,32.7,21.5,7.300000000000001,27.9,49.7,15.2,15.8,28.1,32.5,23.7,6.100000000000001,38.6,24.6,30.7,,,,,,,,,,,,,,,,,,3.5,5,9.200000000000001,9521.110000000001
607198,607,Barrow County,Westside Middle School,198,M,(770)307-2972,240 Matthews School Rd,Winder,GA,30680,788,6-8,,D,67.90000000000001,4,0,14,19,7,56,29.1,16,13,,,,,,,,60.7,67.2,67.7,80.1,67.90000000000001,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,38,32.1,4.600000000000001,20.1,49.2,24.6,6.100000000000001,37.2,26.5,33.7,2.6,25.3,35.9,28.2,10.6,,3.5,5,13.1,8514.57
607205,607,Barrow County,Bethlehem Elementary School,205,E,(770)867-2238,47 McElhannon Rd SW,Bethlehem,GA,30620,714,K-5,,C,78.7,3,0,9,23,4,60,23.5,15,17,72.8,93.2,48.1,85.3,78.7,52.6,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,35.1,30.9,17.8,14.5,36.2,35.4,13.9,23.8,30.8,31.5,13.8,16.2,56.2,18.5,9.200000000000001,,,,,,,,,,,,,,,,,,3.5,5,13.3,8974.210000000001
607289,607,Barrow County,Russell Middle School,289,M,(770)867-8181,364 W. Candler St.,Winder,GA,30680,978,6-8,,B,81.90000000000001,5,0,14,17,5,58,25.700001,15,12,,,,,,,,71.6,82.2,100,83.0,81.90000000000001,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,35.5,35,10.1,14.8,39.6,35.1,10.5,25.9,27.3,37.9,8.9,18.5,40.90000000000001,25.7,14.9,,4,5,10.9,8241.4
607298,607,Barrow County,Yargo Elementary School,298,E,(770)867-1147,1000 Haymon-Morris Rd,Winder,GA,30680,806,K-5,,C,75.3,5,0,16,18,5,57,18.1,11,18,71.4,78.0,64.3,84.6,75.3,52,66.90000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,38.1,34.9,14.5,7.600000000000001,40.6,43.1,8.6,34.6,26.3,32.1,7.100000000000001,17.3,67.3,12.2,3.2,,,,,,,,,,,,,,,,,,3.5,5,10.8,8865.540000000001
607299,607,Barrow County,Winder Elementary School,299,E,(678)425-2914,194 McNeal Rd,Winder,GA,30680,622,K-5,,C,70.60000000000001,5,0,21,18,7,47,38.299999,14,16,62.4,82.9,46.7,79.5,70.59999999999999,43.5,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,34.7,27.3,13.2,19.3,41.5,31.2,8,30.3,30.3,27.3,12.1,26.5,51,18.4,4.100000000000001,,,,,,,,,,,,,,,,,,,3,19,9360.48
6073052,607,Barrow County,Winder-Barrow High School,3052,H,770-867-4519,272 North 5th Ave.,Winder,GA,30680,2075,9-12,,C,74.3,6,0,14,18,4,57,17.799999,13,6,,,,,,,,,,,,,,65.1,78.5,65.3,78.7,86.0,74.3,20.5,37.2,36.3,6,39.5,43.1,16.1,1.3,28.6,26.4,35.5,9.5,20.2,37.9,33.6,8.4,61.1,90.90000000000001,84.80000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,10.3,8084.570000000001
6074050,607,Barrow County,Holsenbeck Elementary School,4050,E,770-307-1540,445 Holsenbeck School Rd.,Winder,GA,30680,698,K-5,,B,82.10000000000001,4,0,9,20,5,61,26.9,15,18,72.6,95.0,69.2,83.2,82.09999999999999,48,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,37.4,33.5,15.6,11.1,40.1,36.8,12,23.9,32.7,33.6,9.700000000000001,15,61.1,15,8.800000000000001,,,,,,,,,,,,,,,,,,3.5,4,11.9,9241.49
6075050,607,Barrow County,Statham Elementary School,5050,E,770-725-7112,1970 Broad St.,Statham,GA,30666,745,K-5,,C,71,4,0,15,17,6,58,28.299999,16,16,61.2,83.3,51.7,78.7,71,40.2,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,40.5,27.6,9.300000000000001,16.2,39.90000000000001,34.8,9,31.5,41.7,22.8,3.9,17.3,66.90000000000001,14.2,1.6,,,,,,,,,,,,,,,,,,3.5,4,10.2,9650.040000000001
608101,608,Bartow County,Woodland Middle School,101,M,(770)606-5871,1061 Euharlee Rd,Euharlee,GA,30145,717,6-8,,D,69,0,0,8,8,4,79,22.9,13,4,,,,,,,,63.4,74.3,53.9,79.4,69,61.40000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,32.9,37.4,7.2,26.4,41.3,26.9,5.5,,,,,21.6,40.5,25,12.9,,3.5,4,12.3,8292.34
608104,608,Bartow County,Clear Creek Elementary School,104,E, 770-606-5886,50 Pleasant Valley Rd ,Cartersville,GA,30121,572,K-5,,C,77.40000000000001,0,0,2,7,6,84,27.4,11,3,64.5,90.2,71.90000000000001,78.3,77.40000000000001,38.1,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,43.6,25.1,3.8,13.7,30.6,43.6,12,18.6,38.2,35.3,7.800000000000001,16.7,61.8,18.6,2.9,,,,,,,,,,,,,,,,,,3,5,17.7,10121.47
608105,608,Bartow County,Adairsville High School,105,H,(770)606-5841,519 Old Highway 41 ,Adairsville,GA,30103,977,9-12,,D,68.10000000000001,1,0,7,7,3,82,20.200001,12,2,,,,,,,,,,,,,,61.2,73.3,36.5,68.2,92.3,68.09999999999999,23.4,35.9,36.5,4.2,40.90000000000001,35,20.9,3.1,37.7,26.7,29.3,6.300000000000001,27.1,34.3,33.3,5.300000000000001,44.1,76.10000000000001,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,9.800000000000001,9529.460000000001
608106,608,Bartow County,Pine Log Elementary School,106,E, 770-606-5864,1095 Cass Pine Log Rd,Rydal,GA,30171,367,K-5,,C,78.10000000000001,0,1,1,6,3,89,33,14,5,68.6,85.4,78.59999999999999,79.4,78.09999999999999,54,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,38.2,29.8,7.9,16.2,26.7,45.5,11.5,27,22.2,33.3,17.5,17.5,46,23.8,12.7,,,,,,,,,,,,,,,,,,2.5,5,13.4,11705.44
608107,608,Bartow County,Euharlee Elementary School,107,E,(770)606-5900,1058 Euharlee Rd,Kingston,GA,30145,416,K-5,,B,82.7,0,0,10,9,5,76,26.4,11,4,74.8,92.2,77.8,81.8,82.7,48.6,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,31.8,34.7,13.6,12.3,30.9,41.90000000000001,14.8,26.4,39.1,26.4,8,14.9,47.1,21.8,16.1,,,,,,,,,,,,,,,,,,2.5,5,13.7,11612.07
608114,608,Bartow County,Cass High School,114,H,(770)606-5845,1000 Colonel Way,White,GA,30184,1518,9-12,,C,70.2,2,0,16,17,5,61,22.9,11,5,,,,,,,,,,,,,,62.4,70.5,56.3,73.7,90.9,70.2,27.6,36,32.1,4.2,34.8,41,23.6,.7000000000000001,42,25.6,28,4.4,22.8,39.5,31.9,5.800000000000001,52.2,86.5,90.80000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,13.4,8298.370000000001
608115,608,Bartow County,Cloverleaf Elementary School,115,E,(770)606-5847,291 Highway 20 Spur,Cartersville,GA,30121,628,K-5,,B,80.2,3,0,16,18,6,57,36.5,9,14,64.0,91.0,86.5,80.9,80.2,48.5,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,33.4,30.1,8.300000000000001,15.6,31.3,40.5,12.6,37.2,27.4,31,4.4,24.8,56.6,16.8,1.8,,,,,,,,,,,,,,,,,,2.5,5,24.4,10916.27
608175,608,Bartow County,White Elementary School,175,E,(770)606-5869,505 Colonel Way,White,GA,30184,523,K-5,Greatest Gains (Platinum),B,81.5,1,0,15,15,6,63,31.5,10,9,75.8,100.0,47.5,83.0,81.5,54.2,66.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,26.5,30.3,20.5,14.4,27,36.9,21.7,28.6,23.1,37.4,11,20.9,49.5,20.9,8.800000000000001,,,,,,,,,,,,,,,,,,4,5,18.4,9893.889999999999
608177,608,Bartow County,Adairsville Elementary School,177,E,(770)606-5840,118 N. Franklin St.,Adairsville,GA,30103,668,K-5,,C,70.3,0,0,10,5,7,78,27.200001,11,2,66.8,76.9,47.2,81.1,70.3,46.8,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,33.1,34.9,9.4,9.4,39.3,42.2,9.1,22.9,47.7,23.9,5.5,14.7,66.10000000000001,13.8,5.5,,,,,,,,,,,,,,,,,,4,5,10.9,1869.98
608186,608,Bartow County,Mission Road Elementary School,186,E,(770)606-5863,1100 Mission Rd SW,Cartersville,GA,30120,442,K-5,,C,73.5,0,0,8,14,4,73,30.799999,9,8,79.4,75.9,44.4,82.4,73.5,52.1,63.90000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,39.2,30,16.1,8.800000000000001,29.5,49.3,12.4,25,26.4,33.3,15.3,12.5,43.1,27.8,16.7,,,,,,,,,,,,,,,,,,3,5,12,10344.74
